"date","sales","day","week","month","year","sales_flag","holiday","wday","weekend","month_1","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","t1_sales","t7_sales","t30_sales"
2009-01-19,1,"19","3","1","2009",0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2009-01-20,8,"20","3","1","2009",0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA
2009-01-21,7,"21","3","1","2009",0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,8,NA,NA
2009-01-22,7,"22","4","1","2009",1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,7,NA,NA
2009-01-23,15,"23","4","1","2009",0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,7,NA,NA
2009-01-24,18,"24","4","1","2009",0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,15,NA,NA
2009-01-25,35,"25","4","1","2009",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,18,NA,NA
2009-01-26,34,"26","4","1","2009",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,35,1,NA
2009-01-27,37,"27","4","1","2009",0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,34,8,NA
2009-01-28,73,"28","4","1","2009",0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,37,7,NA
2009-01-29,65,"29","5","1","2009",0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,73,7,NA
2009-01-30,71,"30","5","1","2009",0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,65,15,NA
2009-01-31,85,"31","5","1","2009",0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,71,18,NA
2009-02-01,52,"1","5","2","2009",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,85,35,NA
2009-02-02,98,"2","5","2","2009",0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,52,34,NA
2009-02-03,127,"3","5","2","2009",0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,98,37,NA
2009-02-04,94,"4","5","2","2009",0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,127,73,NA
2009-02-05,111,"5","6","2","2009",0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,94,65,NA
2009-02-06,75,"6","6","2","2009",0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,111,71,NA
2009-02-07,77,"7","6","2","2009",0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,75,85,NA
2009-02-08,107,"8","6","2","2009",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,77,52,NA
2009-02-09,106,"9","6","2","2009",0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,107,98,NA
2009-02-10,100,"10","6","2","2009",0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,106,127,NA
2009-02-11,109,"11","6","2","2009",0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,100,94,NA
2009-02-12,108,"12","7","2","2009",0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,109,111,NA
2009-02-13,70,"13","7","2","2009",0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,108,75,NA
2009-02-14,78,"14","7","2","2009",0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,70,77,NA
2009-02-15,108,"15","7","2","2009",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,78,107,NA
2009-02-16,82,"16","7","2","2009",0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,108,106,NA
2009-02-17,122,"17","7","2","2009",0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,82,100,NA
2009-02-18,99,"18","7","2","2009",0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,122,109,1
2009-02-19,101,"19","8","2","2009",0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,99,108,8
2009-02-20,90,"20","8","2","2009",0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,101,70,7
2009-02-21,81,"21","8","2","2009",0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,90,78,7
2009-02-22,94,"22","8","2","2009",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,81,108,15
2009-02-23,123,"23","8","2","2009",0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,94,82,18
2009-02-24,106,"24","8","2","2009",0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,123,122,35
2009-02-25,107,"25","8","2","2009",0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,106,99,34
2009-02-26,108,"26","9","2","2009",0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,107,101,37
2009-02-27,64,"27","9","2","2009",0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,108,90,73
2009-02-28,87,"28","9","2","2009",0,0,7,1,0,1,0,0,0,0,0,0,0,0,0,64,81,65
2009-03-01,106,"1","9","3","2009",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,87,94,71
2009-03-02,137,"2","9","3","2009",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,106,123,85
2009-03-03,114,"3","9","3","2009",0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,137,106,52
2009-03-04,119,"4","9","3","2009",0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,114,107,98
2009-03-05,114,"5","10","3","2009",0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,119,108,127
2009-03-06,65,"6","10","3","2009",0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,114,64,94
2009-03-07,72,"7","10","3","2009",0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,65,87,111
2009-03-08,76,"8","10","3","2009",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,72,106,75
2009-03-09,113,"9","10","3","2009",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,76,137,77
2009-03-10,123,"10","10","3","2009",0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,113,114,107
2009-03-11,115,"11","10","3","2009",0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,123,119,106
2009-03-12,101,"12","11","3","2009",0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,115,114,100
2009-03-13,51,"13","11","3","2009",0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,101,65,109
2009-03-14,85,"14","11","3","2009",0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,51,72,108
2009-03-15,96,"15","11","3","2009",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,85,76,70
2009-03-16,130,"16","11","3","2009",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,96,113,78
2009-03-17,90,"17","11","3","2009",0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,130,123,108
2009-03-18,111,"18","11","3","2009",0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,90,115,82
2009-03-19,76,"19","12","3","2009",0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,111,101,122
2009-03-20,59,"20","12","3","2009",0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,76,51,99
2009-03-21,95,"21","12","3","2009",0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,59,85,101
2009-03-22,100,"22","12","3","2009",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,95,96,90
2009-03-23,120,"23","12","3","2009",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,100,130,81
2009-03-24,148,"24","12","3","2009",0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,120,90,94
2009-03-25,138,"25","12","3","2009",0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,148,111,123
2009-03-26,87,"26","13","3","2009",0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,138,76,106
2009-03-27,68,"27","13","3","2009",0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,87,59,107
2009-03-28,87,"28","13","3","2009",0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,68,95,108
2009-03-29,91,"29","13","3","2009",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,87,100,64
2009-03-30,106,"30","13","3","2009",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,91,120,87
2009-03-31,107,"31","13","3","2009",0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,106,148,106
2009-04-01,104,"1","13","4","2009",0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,107,138,137
2009-04-02,93,"2","14","4","2009",0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,104,87,114
2009-04-03,54,"3","14","4","2009",0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,93,68,119
2009-04-04,62,"4","14","4","2009",0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,54,87,114
2009-04-05,112,"5","14","4","2009",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,62,91,65
2009-04-06,110,"6","14","4","2009",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,112,106,72
2009-04-07,103,"7","14","4","2009",0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,110,107,76
2009-04-08,142,"8","14","4","2009",0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,103,104,113
2009-04-09,99,"9","15","4","2009",0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,142,93,123
2009-04-10,51,"10","15","4","2009",0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,99,54,115
2009-04-11,71,"11","15","4","2009",0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,51,62,101
2009-04-12,71,"12","15","4","2009",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,71,112,51
2009-04-13,96,"13","15","4","2009",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,71,110,85
2009-04-14,91,"14","15","4","2009",0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,96,103,96
2009-04-15,96,"15","15","4","2009",0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,91,142,130
2009-04-16,87,"16","16","4","2009",0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,96,99,90
2009-04-17,48,"17","16","4","2009",0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,87,51,111
2009-04-18,79,"18","16","4","2009",0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,48,71,76
2009-04-19,107,"19","16","4","2009",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,79,71,59
2009-04-20,116,"20","16","4","2009",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,107,96,95
2009-04-21,102,"21","16","4","2009",0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,116,91,100
2009-04-22,118,"22","16","4","2009",0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,102,96,120
2009-04-23,86,"23","17","4","2009",0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,118,87,148
2009-04-24,43,"24","17","4","2009",0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,86,48,138
2009-04-25,132,"25","17","4","2009",0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,43,79,87
2009-04-26,157,"26","17","4","2009",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,132,107,68
2009-04-27,102,"27","17","4","2009",0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,157,116,87
2009-04-28,102,"28","17","4","2009",0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,102,102,91
2009-04-29,142,"29","17","4","2009",0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,102,118,106
2009-04-30,105,"30","18","4","2009",0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,142,86,107
2009-05-01,40,"1","18","5","2009",0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,105,43,104
2009-05-02,169,"2","18","5","2009",0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,40,132,93
2009-05-03,120,"3","18","5","2009",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,169,157,54
2009-05-04,136,"4","18","5","2009",0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,120,102,62
2009-05-05,111,"5","18","5","2009",0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,136,102,112
2009-05-06,157,"6","18","5","2009",0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,111,142,110
2009-05-07,154,"7","19","5","2009",0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,157,105,103
2009-05-08,62,"8","19","5","2009",0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,154,40,142
2009-05-09,157,"9","19","5","2009",0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,62,169,99
2009-05-10,188,"10","19","5","2009",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,157,120,51
2009-05-11,129,"11","19","5","2009",0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,188,136,71
2009-05-12,134,"12","19","5","2009",0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,129,111,71
2009-05-13,133,"13","19","5","2009",0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,134,157,96
2009-05-14,136,"14","20","5","2009",0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,133,154,91
2009-05-15,52,"15","20","5","2009",0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,136,62,96
2009-05-16,164,"16","20","5","2009",0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,52,157,87
